sample	name	class
P2_E02_M_0050	bubba_kush	hybrid
SRS1431931	bubba_kush_1	indica
SRS1757982	bubba_kush_2	indica
SRS1757987	bubba_kush_3	indica
SRS1758425	bubba_kush_4	indica
SRS4167643	bubba_kush_5	-
SRS1758013	bubba_kush_indoor	indica
SRS4167329	bubbas_gift	-
SRS4167685	bubbas_gift_1	-
SRS4167501	bubble_back_black	-
SRS4167702	bubblegum	-
SRS1431972	bubble_gum	hybrid
SRS4167466	bubble_gum_1	-
SRS1431825	bubble_gum_xl	hybrid
SRS4167754	bubblelicious_nirvana	-
SRS4167650	burmese_kush	-
SRS1760313	c-3	unknown
SRS1431844	c36	unknown
SRS1431813	c37	unknown
SRS1431842	c4	hybrid
SRS4167797	c4_1	-
SRS1099981	c4-2130	unknown
SRS1099980	c4-x-cannatsu-2130	hybrid
SRS4169529	cabeza_de_negro	-
SRS4167845	cadillac_jack	-
SRS1758012	cadillac_purple	indica
SRS4169489	calihari_kush	-
SRS1759474	camael_no1	unknown
SRS1758327	cambodia	sativa
P1_F06_H_0033_2	can_1/1	hemp
P1_G11_H_0042_1	can_16/94	hemp
P1_G04_H_0038_2	can_17/95	hemp
P1_F07_H_0034_1	can_18/95	hemp
P1_G05_H_0039_1	can_19/87	hemp
P1_F09_H_0035_1	can_2/2	hemp
P1_G07_H_0040_1	can_22/88	hemp
P1_G01_H_0037_1	can_23/99	hemp
P1_F11_H_0036_1	can_24/89	hemp
P1_G10_H_0041_2	can_26/93	hemp
P1_H02_H_0044_1	can_28/1	hemp
P1_E05_H_0027_1	can_29/94	hemp
P1_E07_H_0028_1	can_37/97	hemp
P1_F03_H_0032_1	can_39/98	hemp
P1_E10_H_0029_2	can_4/99	hemp
SRS4167821	canbyland	-
SRS1758235	candy_cheese	hybrid
SRS1758196	candy_jack	sativa
SRS4167412	candy_kush	-
SRS4169355	candyland	-
SRS4169552	candy_land	-
SRS4169421	cannalope_haze	-
P2_D09_M_0045	cannatonic	hybrid
SRS1362445	cannatonic_1	hybrid
SRS1757994	cannatonic_2	hybrid
SRS1758014	cannatonic_3	hybrid
SRS1758015	cannatonic_4	hybrid
SRS1758146	cannatonic_5	hybrid
SRS1758430	cannatonic_6	hybrid
SRS1758431	cannatonic_7	hybrid
SRS1758537	cannatonic_8	hybrid
SRS1760295	cannatonic_9	hybrid
SRS1760317	cannatonic_10	hybrid
SRS3289202	cannatonic_11	hybrid
SRS4167601	cannatonic_12	-
SRS4167610	cannatonic_13	-
SRS4167940	cannatonic_14	-
SRS4169636	cannatonic_15	-
SRS1758213	cannatonic_x_ac-dc	hybrid
SRS1431903	canna_tsu	hybrid
SRS1758144	canna_tsu_1	hybrid
SRS1758271	canna_tsu_2	hybrid
SRS4167645	canna_tsu_3	-
SRS4169546	cannatsujah__1	-
SRS4169387	cannatsujah__10	-
SRS4169665	cannatsujah_13	-
SRS4169393	cannatsujah_4	-
SRS1758368	canuvo_god_bud_-_0	unknown
SRS1758369	canuvo_shark_shock	unknown
SRS4167780	caps_mac_the_mac	-
SRS1758453	caramelicious	hybrid
P1_C10_H_0017_2	carmagnola	hemp
SRS1360595	carmagnola_1	hemp
SRS1360596	carmagnola_2	hemp
SRS1362423	carmagnola_3	hemp
SRS1362456	carmagnola_4	hemp
SRS1362457	carmagnola_5	hemp
SRS1362458	carmagnola_6	hemp
P1_H09_H_0047_2	carmen	hemp
SRS4167178	cascadian_fog	-
SRS4169634	casey_cookies	-
SRS1757937	casey_jones	sativa
SRS4167533	cashys_honey	-
SRS1758316	cataract_kush	hybrid
SRS1758433	catatonic	unknown
SRS4168033	cave_skunk	-
SRS4167628	cbd	-
SRS1431868	cbd-0	unknown
SRS1431869	cbd18	hemp
SRS3289198	cbd_critical_mass	indica
SRS4167166	cbd_critical_mass_1	-
SRS4167590	cbd_critical_mass_2	-
SRS4168003	cbd_critical_mass_3	-
SRS1431895	cbd_diesel	unknown
SRS1431837	cbd_god	hybrid
SRS3289197	cbdiesel	unknown
SRS4167753	cbdiesel_1	-
SRS4169680	cbd_indoor	-
P2_C04_M_0028	cbd_shark	hybrid
SRS1431846	cbd_shark_f-6	indica
SRS1758376	cbd_shark_shock	unknown
SRS4167827	cbd_skunk_haze	-
SRS4167397	cbw_red	-
SRS4167393	cbw_yellow	-
SRS4167360	cdsr_2012_ecw	-
SRS4167809	cece	-
SRS1758209	cenarius	unknown
SRS4167273	cenarius_1	-
SRS4167683	cenex	-
P1_H04_H_0045_1	chameleon	hemp
SRS1758360	champagne_x	unknown
SRS1759469	changxin_dao	unknown
SRS4169379	charlie_girl	-
SRS1431810	charlottes_web	sativa
SRS1431816	charlottes_web_1	sativa
SRS1758354	charlottes_web_2	sativa
SRS1758367	charlottes_web_3	sativa
SRS1758515	charlottes_web_4	sativa
SRS4169517	charlottes_web_5	-
SRS1431877	char_tango	hemp
SRS4167168	cheese	-
SRS4167586	cheese_1	-
SRS1431967	cheesequake	indica
SRS1758073	cheesequake_1	indica
SRS1758229	cheesequake_2	indica
SRS4167625	cheesequake_3	-
SRS1431911	cheese_quake	indica
SRS4167923	chelumbian_male	-
SRS4169796	chem	-
SRS1760294	chem_4	unknown
SRS4167536	chem_4_1	-
SRS4169462	chem_4_2	-
SRS1758297	chem_7	unknown
SRS1362454	chem91	hybrid
SRS1431901	chem_91	hybrid
SRS1758057	chem_91_1	unknown
SRS1760314	chem_d	unknown
P2_B09_M_0021	chemdawg	hybrid
SRS1757961	chemdawg_1	hybrid
SRS1758195	chemdawg_2	hybrid
SRS1758254	chemdawg_3	hybrid
SRS1758459	chemdawg_4	hybrid
SRS4167502	chem_dawg	-
SRS1098403	chemdawg91	hybrid
SRS1758236	chemdawg_special_reserve	hybrid
SRS1760369	chemdawg_special_reserve_1	hybrid
SRS4169396	chem_dawg_x_og	-
SRS4167405	chem_dog	-
SRS4167194	chemdog_4	-
SRS4169417	chemdog_4_1	-
SRS4167660	chemdog_91	-
SRS4169471	chemdog_91_1	-
SRS1099979	chemdog91-2130	hybrid
SRS4167676	chemdog_d	-
SRS4169346	chemdog_sour_diesel	-
SRS4169481	chemnesia_fire_cut	-
SRS4167363	chem_star_02	-
SRS4169659	chem_star_5	-
SRS4169487	chem_trails	-
SRS1757966	chernobyl	hybrid
SRS1758186	chernobyl_1	hybrid
SRS1759468	chernobyl_2	hybrid
SRS1760262	chernobyl_3	hybrid
SRS4167242	chernobyl_4	-
SRS4167370	chernobyl_5	-
SRS4167736	chernobyl_6	-
SRS4168032	chernobyl_7	-
SRS4169433	chernobyl_8	-
SRS1431855	cherry	hemp
SRS4167509	cherry_7	-
SRS4167281	cherry_af	-
SRS1431891	cherry_afghan	hybrid
SRS4167795	cherry_ak	-
SRS4169570	cherry_berry	-
SRS1758005	cherry_cheesecake	unknown
SRS1757980	cherry_cola	indica
SRS4169550	cherry_cookies	-
SRS4169600	cherry_cream_pie	-
SRS4167184	cherry_i	-
SRS1758025	cherry_kush	hybrid
SRS4167915	cherry_kush_1	-
SRS4169787	cherry_kush_2	-
SRS4167629	cherry_lime_aid_8	-
SRS1758105	cherry_pie	hybrid
SRS1758183	cherry_pie_1	hybrid
SRS4167555	cherry_pie_2	-
SRS4169516	cherry_pie_3	-
SRS4169577	cherry_pie_kush	-
SRS4167945	cherry_pie_leone	-
SRS1760312	cherry_pie_og	hybrid
SRS3289203	cherry_wine	hybrid
SRS4167506	cherry_wine_1	-
SRS4167880	cherry_wine_2	-
SRS4167594	cherry_wine_x_charlotte_web_x_columbian_gold	-
SRS1757990	cher-willie_plant_1	hybrid
SRS1760360	cher-willie_plant_2	hybrid
SRS1758441	chiang_mai_thailand	unknown
SRS1362426	chinese_hemp	hemp
SRS4167567	choco_chiba	-
SRS1758169	chocolate_chunk	indica
SRS1758040	chocolate_hashberry	hybrid
SRS4169671	chocolate_heaven	-
